Codigo_Local_Operacion,Codigo_Equipo,Codigo_INMETRO,Fecha_Comprobacion_INMETRO,Codigo_OVD,Fecha_Comprobacion_OVD,Pista,Fecha_Paso_Vehicular,Hora_Paso_Vehicular,Secuencial_Imagen,Velocidad_Maxima,Velocidad_Maxima_Tolerada,Velocidad_Medida,Velocidad_Considerada,Tamaño_Vehiculo,Placa_Vehiculo,Tipo_Imagen,Tiempo_Ocupacion,Distancia_Vehiculo_Anterior,Cantidad_Ejes_Vehiculo,Codigo_Clasificacion_Vehiculo,Secuencial_Infraccion,Codigo_Infraccion_Vehiculo,Tiempo_Caracterizar_Inicio_Semaforo_Rojo,Tiempo_Avance_Rojo_Parada_Cebra,Tiempo_Caracterizar_Parada_Cebra,Tiempo_Parada_Vehiculo_Cebra,Path_Imagen
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,73759,416759,60,66,19,17,390,JKN981,ZT,1778,1605,,2,184903,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_073759_416759_060_066_019_017_0390_JKN981_ZT_01778_01605__2_184903_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,75449,416773,60,66,20,18,104,AJF581,ZT,952,1460,,1,184910,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_075449_416773_060_066_020_018_0104_AJF581_ZT_00952_01460__1_184910_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,80750,416791,60,66,19,17,178,NNC72C,ZT,1045,664,,1,184919,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_080750_416791_060_066_019_017_0178_NNC72C_ZT_01045_00664__1_184919_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,81143,416809,60,66,33,30,136,PMW25B,ZT,499,621,,1,184928,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_081143_416809_060_066_033_030_0136_PMW25B_ZT_00499_00621__1_184928_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,81624,416813,60,66,27,24,148,HBD276,ZT,640,1142,,1,184930,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_081624_416813_060_066_027_024_0148_HBD276_ZT_00640_01142__1_184930_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,81805,416817,60,66,22,20,406,EKO192,ZT,1342,1254,,2,184932,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_081805_416817_060_066_022_020_0406_EKO192_ZT_01342_01254__2_184932_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,81824,416819,60,66,34,31,391,HGT719,ZT,874,1579,,2,184933,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_081824_416819_060_066_034_031_0391_HGT719_ZT_00874_01579__2_184933_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,82140,416823,60,66,34,31,99,PIW74E,ZT,484,1967,,1,184935,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_082140_416823_060_066_034_031_0099_PIW74E_ZT_00484_01967__1_184935_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,82144,416825,60,66,38,34,95,BYF281,ZT,437,1129,,1,184936,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_082144_416825_060_066_038_034_0095_BYF281_ZT_00437_01129__1_184936_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,82150,416827,60,66,41,37,168,IBO73F,ZT,468,2446,,1,184937,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_082150_416827_060_066_041_037_0168_IBO73F_ZT_00468_02446__1_184937_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,82812,416831,60,66,19,17,377,IEX810,ZT,1529,1211,,2,184939,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_082812_416831_060_066_019_017_0377_IEX810_ZT_01529_01211__2_184939_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,82924,416833,60,66,15,14,367,GJK558,ZT,1904,21160,,2,184940,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_082924_416833_060_066_015_014_0367_GJK558_ZT_01904_21160__2_184940_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,83310,416835,60,66,22,20,350,JFP046,ZT,1248,1387,,2,184941,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_083310_416835_060_066_022_020_0350_JFP046_ZT_01248_01387__2_184941_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,84204,416843,60,66,0,0,0,LAU523,ZT,56566,0,,1,184945,56732,1,12,10,47.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_084204_416843_060_066_000_000_0000_LAU523_ZT_56566_00000__1_184945_56732_1_12_10_47.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,84305,416846,60,66,18,16,381,OYV26C,ZT,1654,1112,,2,184946,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_084305_416846_060_066_018_016_0381_OYV26C_ZT_01654_01112__2_184946_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,84319,416848,60,66,23,21,400,EKY32B,ZT,1341,1415,,2,184947,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_084319_416848_060_066_023_021_0400_EKY32B_ZT_01341_01415__2_184947_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,90306,416858,60,66,23,21,360,FQQ585,ZT,1279,982,,2,184952,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_090306_416858_060_066_023_021_0360_FQQ585_ZT_01279_00982__2_184952_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,92507,416872,60,66,24,22,400,IIL982,ZT,1155,1560,,2,184958,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_092507_416872_060_066_024_022_0400_IIL982_ZT_01155_01560__2_184958_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,92822,416878,60,66,20,18,411,DOL662,ZT,1731,1083,,2,184961,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_092822_416878_060_066_020_018_0411_DOL662_ZT_01731_01083__2_184961_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,93312,416880,60,66,14,13,408,ZAB08C,ZT,1965,1361,,2,184962,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_093312_416880_060_066_014_013_0408_ZAB08C_ZT_01965_01361__2_184962_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,94930,416886,60,66,19,17,413,OML907,ZT,1685,1398,,2,184965,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_094930_416886_060_066_019_017_0413_OML907_ZT_01685_01398__2_184965_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,95244,416892,60,66,14,13,360,SWV232,ZT,1887,19518,,2,184968,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_095244_416892_060_066_014_013_0360_SWV232_ZT_01887_19518__2_184968_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,105204,416921,60,66,0,0,0,JSW031,ZT,53586,0,,1,184982,56732,1,12,10,47.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_105204_416921_060_066_000_000_0000_JSW031_ZT_53586_00000__1_184982_56732_1_12_10_47.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,105441,416924,60,66,22,20,382,MIU110,ZT,1263,2046,,2,184983,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_105441_416924_060_066_022_020_0382_MIU110_ZT_01263_02046__2_184983_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,111324,416938,60,66,19,17,381,COW823,ZT,1497,1606,,2,184990,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_111324_416938_060_066_019_017_0381_COW823_ZT_01497_01606__2_184990_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,112131,416950,60,66,31,28,400,EFQ541,ZT,858,2448,,2,184995,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_112131_416950_060_066_031_028_0400_EFQ541_ZT_00858_02448__2_184995_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,113328,416952,60,66,21,19,384,EAN062,ZT,1436,944,,2,184996,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_113328_416952_060_066_021_019_0384_EAN062_ZT_01436_00944__2_184996_30003_1_00_10_00.jpg
